code,lad,2001,2011,change,topic,parent
E06000001,Hartlepool,88611,92028,3.86,population_all,North East
E06000002,Middlesbrough,134855,138412,2.64,population_all,North East
E06000003,Redcar and Cleveland,139132,135177,-2.84,population_all,North East
E06000004,Stockton-on-Tees,178408,191610,7.4,population_all,North East
E06000005,Darlington,97838,105564,7.9,population_all,North East
E06000006,Halton,118208,125746,6.38,population_all,North West
E06000007,Warrington,191080,202228,5.83,population_all,North West
E06000008,Blackburn with Darwen,137470,147489,7.29,population_all,North West
E06000009,Blackpool,142283,142065,-0.15,population_all,North West
E06000010,"Kingston upon Hull, City of",243589,256406,5.26,population_all,Yorkshire and The Humber
E06000011,East Riding of Yorkshire,314113,334179,6.39,population_all,Yorkshire and The Humber
E06000012,North East Lincolnshire,157979,159616,1.04,population_all,Yorkshire and The Humber
E06000013,North Lincolnshire,152849,167446,9.55,population_all,Yorkshire and The Humber
E06000014,York,181094,198051,9.36,population_all,Yorkshire and The Humber
E06000015,Derby,221708,248752,12.2,population_all,East Midlands
E06000016,Leicester,279921,329839,17.83,population_all,East Midlands
E06000017,Rutland,34563,37369,8.12,population_all,East Midlands
E06000018,Nottingham,266988,305680,14.49,population_all,East Midlands
E06000019,"Herefordshire, County of",174871,183477,4.92,population_all,West Midlands
E06000020,Telford and Wrekin,158325,166641,5.25,population_all,West Midlands
E06000021,Stoke-on-Trent,240636,249008,3.48,population_all,West Midlands
E06000022,Bath and North East Somerset,169040,176016,4.13,population_all,South West
E06000023,"Bristol, City of",380615,428234,12.51,population_all,South West
E06000024,North Somerset,188564,202566,7.43,population_all,South West
E06000025,South Gloucestershire,245641,262767,6.97,population_all,South West
E06000026,Plymouth,240720,256384,6.51,population_all,South West
E06000027,Torbay,129706,130959,0.97,population_all,South West
E06000030,Swindon,180051,209156,16.16,population_all,South West
E06000031,Peterborough,156061,183631,17.67,population_all,East
E06000032,Luton,184371,203201,10.21,population_all,East
E06000033,Southend-on-Sea,160257,173658,8.36,population_all,East
E06000034,Thurrock,143128,157705,10.18,population_all,East
E06000035,Medway,249488,263925,5.79,population_all,South East
E06000036,Bracknell Forest,109617,113205,3.27,population_all,South East
E06000037,West Berkshire,144483,153822,6.46,population_all,South East
E06000038,Reading,143096,155698,8.81,population_all,South East
E06000039,Slough,119067,140205,17.75,population_all,South East
E06000040,Windsor and Maidenhead,133626,144560,8.18,population_all,South East
E06000041,Wokingham,150229,154380,2.76,population_all,South East
E06000042,Milton Keynes,207057,248821,20.17,population_all,South East
E06000043,Brighton and Hove,247817,273369,10.31,population_all,South East
E06000044,Portsmouth,186701,205056,9.83,population_all,South East
E06000045,Southampton,217445,236882,8.94,population_all,South East
E06000046,Isle of Wight,132731,138265,4.17,population_all,South East
E06000047,County Durham,493470,513242,4.01,population_all,North East
E06000049,Cheshire East,351817,370127,5.2,population_all,North West
E06000050,Cheshire West and Chester,321971,329608,2.37,population_all,North West
E06000051,Shropshire,283173,306129,8.11,population_all,West Midlands
E06000052,Cornwall,499114,532273,6.64,population_all,South West
E06000053,Isles of Scilly,1988,2203,10.81,population_all,South West
E06000054,Wiltshire,432973,470981,8.78,population_all,South West
E06000055,Bedford,147911,157479,6.47,population_all,East
E06000056,Central Bedfordshire,233661,254381,8.87,population_all,East
E06000057,Northumberland,307190,316028,2.88,population_all,North East
E06000058,"Bournemouth, Christchurch and Poole",346597,378888,9.32,population_all,South West
E06000059,Dorset,345869,365153,5.58,population_all,South West
E06000060,Buckinghamshire,479026,505283,5.48,population_all,South East
E07000008,Cambridge,108863,123867,13.78,population_all,East
E07000009,East Cambridgeshire,73214,83818,14.48,population_all,East
E07000010,Fenland,83519,95262,14.06,population_all,East
E07000011,Huntingdonshire,156954,169508,8.0,population_all,East
E07000012,South Cambridgeshire,130108,148755,14.33,population_all,East
E07000026,Allerdale,93492,96422,3.13,population_all,North West
E07000027,Barrow-in-Furness,71980,69087,-4.02,population_all,North West
E07000028,Carlisle,100739,107524,6.74,population_all,North West
E07000029,Copeland,69318,70603,1.85,population_all,North West
E07000030,Eden,49777,52564,5.6,population_all,North West
E07000031,South Lakeland,102301,103658,1.33,population_all,North West
E07000032,Amber Valley,116471,122309,5.01,population_all,East Midlands
E07000033,Bolsover,71766,75866,5.71,population_all,East Midlands
E07000034,Chesterfield,98845,103788,5.0,population_all,East Midlands
E07000035,Derbyshire Dales,69469,71116,2.37,population_all,East Midlands
E07000036,Erewash,110099,112081,1.8,population_all,East Midlands
E07000037,High Peak,89433,90892,1.63,population_all,East Midlands
E07000038,North East Derbyshire,96940,99023,2.15,population_all,East Midlands
E07000039,South Derbyshire,81562,94611,16.0,population_all,East Midlands
E07000040,East Devon,125520,132457,5.53,population_all,South West
E07000041,Exeter,111076,117773,6.03,population_all,South West
E07000042,Mid Devon,69774,77750,11.43,population_all,South West
E07000043,North Devon,87508,93667,7.04,population_all,South West
E07000044,South Hams,81849,83140,1.58,population_all,South West
E07000045,Teignbridge,120958,124220,2.7,population_all,South West
E07000046,Torridge,58965,63839,8.27,population_all,South West
E07000047,West Devon,48843,53553,9.64,population_all,South West
E07000061,Eastbourne,89667,99412,10.87,population_all,South East
E07000062,Hastings,85029,90254,6.14,population_all,South East
E07000063,Lewes,92177,97502,5.78,population_all,South East
E07000064,Rother,85428,90588,6.04,population_all,South East
E07000065,Wealden,140023,148915,6.35,population_all,South East
E07000066,Basildon,165668,174497,5.33,population_all,East
E07000067,Braintree,132179,147084,11.28,population_all,East
E07000068,Brentwood,68456,73601,7.52,population_all,East
E07000069,Castle Point,86608,88011,1.62,population_all,East
E07000070,Chelmsford,157072,168310,7.15,population_all,East
E07000071,Colchester,155796,173074,11.09,population_all,East
E07000072,Epping Forest,120896,124659,3.11,population_all,East
E07000073,Harlow,78768,81944,4.03,population_all,East
E07000074,Maldon,59418,61629,3.72,population_all,East
E07000075,Rochford,78489,83287,6.11,population_all,East
E07000076,Tendring,138539,138048,-0.35,population_all,East
E07000077,Uttlesford,68946,79443,15.22,population_all,East
E07000078,Cheltenham,110013,115732,5.2,population_all,South West
E07000079,Cotswold,80376,82881,3.12,population_all,South West
E07000080,Forest of Dean,79982,81961,2.47,population_all,South West
E07000081,Gloucester,109885,121688,10.74,population_all,South West
E07000082,Stroud,107898,112779,4.52,population_all,South West
E07000083,Tewkesbury,76405,81943,7.25,population_all,South West
E07000084,Basingstoke and Deane,152573,167799,9.98,population_all,South East
E07000085,East Hampshire,109274,115608,5.8,population_all,South East
E07000086,Eastleigh,116169,125199,7.77,population_all,South East
E07000087,Fareham,107977,111581,3.34,population_all,South East
E07000088,Gosport,76415,82622,8.12,population_all,South East
E07000089,Hart,83505,91033,9.02,population_all,South East
E07000090,Havant,116849,120684,3.28,population_all,South East
E07000091,New Forest,169331,176462,4.21,population_all,South East
E07000092,Rushmoor,90987,93807,3.1,population_all,South East
E07000093,Test Valley,109801,116398,6.01,population_all,South East
E07000094,Winchester,107222,116595,8.74,population_all,South East
E07000095,Broxbourne,87054,93609,7.53,population_all,East
E07000096,Dacorum,137799,144847,5.11,population_all,East
E07000098,Hertsmere,94450,100031,5.91,population_all,East
E07000099,North Hertfordshire,116908,127114,8.73,population_all,East
E07000102,Three Rivers,82848,87317,5.39,population_all,East
E07000103,Watford,79726,90301,13.26,population_all,East
E07000105,Ashford,102661,117956,14.9,population_all,South East
E07000106,Canterbury,135278,151145,11.73,population_all,South East
E07000107,Dartford,85911,97365,13.33,population_all,South East
E07000108,Dover,104566,111674,6.8,population_all,South East
E07000109,Gravesham,95717,101720,6.27,population_all,South East
E07000110,Maidstone,138948,155143,11.66,population_all,South East
E07000111,Sevenoaks,109305,114893,5.11,population_all,South East
E07000112,Folkestone and Hythe,96238,107969,12.19,population_all,South East
E07000113,Swale,122801,135835,10.61,population_all,South East
E07000114,Thanet,126702,134186,5.91,population_all,South East
E07000115,Tonbridge and Malling,107561,120805,12.31,population_all,South East
E07000116,Tunbridge Wells,104030,115049,10.59,population_all,South East
E07000117,Burnley,89542,87059,-2.77,population_all,North West
E07000118,Chorley,100449,107155,6.68,population_all,North West
